ciudad,estado,poblacion,muertes
Bourbon,Kansas,14534,26
Brown,Kansas,9564,38
Butler,Kansas,66911,85
Chase,Kansas,2648,3
Chautauqua,Kansas,3250,6
Cherokee,Kansas,19939,52
Cheyenne,Kansas,2657,14
Clark,Kansas,1994,7
Clay,Kansas,8002,29
Cloud,Kansas,8786,23
Coffey,Kansas,8179,23
Comanche,Kansas,1700,9
Cowley,Kansas,34908,107
Crawford,Kansas,38818,77
Decatur,Kansas,2827,12
Dickinson,Kansas,18466,44
Doniphan,Kansas,7600,23
Douglas,Kansas,122259,82
Edwards,Kansas,2798,12
Elk,Kansas,2530,5
Ellis,Kansas,28553,73
Ellsworth,Kansas,6102,25
Finney,Kansas,36467,71
Ford,Kansas,33619,74
Franklin,Kansas,25544,43
Geary,Kansas,31670,40
Gove,Kansas,2636,19
Graham,Kansas,2482,9
Grant,Kansas,7150,18
Gray,Kansas,5988,14
Greeley,Kansas,1232,1
Greenwood,Kansas,5982,11
Hamilton,Kansas,2539,1
Harper,Kansas,5436,18
Harvey,Kansas,34429,68
Haskell,Kansas,3968,9
Hodgeman,Kansas,1794,8
Jackson,Kansas,13171,16
Jefferson,Kansas,19043,34
Jewell,Kansas,2879,5
Johnson,Kansas,602401,746
Kearny,Kansas,3838,10
Kingman,Kansas,7152,15
Kiowa,Kansas,2475,4
Labette,Kansas,19618,10
Lane,Kansas,1535,7
Leavenworth,Kansas,81758,91
Lincoln,Kansas,2962,4
Linn,Kansas,9703,8
Logan,Kansas,2794,6
Lyon,Kansas,33195,84
Marion,Kansas,11884,24
Marshall,Kansas,9707,23
McPherson,Kansas,28542,80
Meade,Kansas,4033,12
Miami,Kansas,34237,42
Mitchell,Kansas,5979,18
Montgomery,Kansas,31829,78
Morris,Kansas,5620,22
Morton,Kansas,2587,8
Nemaha,Kansas,10231,56
Neosho,Kansas,16007,35
Ness,Kansas,2750,16
Norton,Kansas,5361,26
Osage,Kansas,15949,25
Osborne,Kansas,3421,12
Ottawa,Kansas,5704,13
Out of KS,Kansas,0,0
Pawnee,Kansas,6414,13
Phillips,Kansas,5234,24
Pottawatomie,Kansas,24383,30
Pratt,Kansas,9164,25
Rawlins,Kansas,2530,7
Reno,Kansas,61998,137
Republic,Kansas,4636,13
Rice,Kansas,9537,12
Riley,Kansas,74232,36
Rooks,Kansas,4920,11
Rush,Kansas,3036,14
Russell,Kansas,6856,28
Saline,Kansas,54224,134
Scott,Kansas,4823,23
Sedgwick,Kansas,516042,739
Seward,Kansas,21428,41
Shawnee,Kansas,176875,358
Sheridan,Kansas,2521,13
Sherman,Kansas,5917,12
Smith,Kansas,3583,3
Stafford,Kansas,4156,9
Stanton,Kansas,2006,6
Stevens,Kansas,5485,10
Sumner,Kansas,22836,51
Thomas,Kansas,7777,20
Trego,Kansas,2803,8
Unassigned,Kansas,0,0
Wabaunsee,Kansas,6931,13
Wallace,Kansas,1518,4
Washington,Kansas,5406,14
Wichita,Kansas,2119,6
Wilson,Kansas,8525,16
Woodson,Kansas,3138,5
Wyandotte,Kansas,165429,279
Adair,Kentucky,19202,53
Allen,Kentucky,21315,39
Anderson,Kentucky,22747,20
Ballard,Kentucky,7888,8
Barren,Kentucky,44249,90
Bath,Kentucky,12500,20
Bell,Kentucky,26032,53
Boone,Kentucky,133581,118
Bourbon,Kentucky,19788,14
Boyd,Kentucky,46718,73
Boyle,Kentucky,30060,70
Bracken,Kentucky,8303,7
Breathitt,Kentucky,12630,8
Breckinridge,Kentucky,20477,15
Bullitt,Kentucky,81676,72
Butler,Kentucky,12879,24
Caldwell,Kentucky,12747,30
Calloway,Kentucky,39001,51
Campbell,Kentucky,93584,70
Carlisle,Kentucky,4760,9
Carroll,Kentucky,10631,19
Carter,Kentucky,26797,33
Casey,Kentucky,16159,35
Christian,Kentucky,70461,104
Clark,Kentucky,36263,28
Clay,Kentucky,19901,42
Clinton,Kentucky,10218,31
Crittenden,Kentucky,8806,20
Cumberland,Kentucky,6614,10
Daviess,Kentucky,101511,179
Edmonson,Kentucky,12150,21
Elliott,Kentucky,7517,2
Estill,Kentucky,14106,11
Fayette,Kentucky,323152,292
Fleming,Kentucky,14581,21
Floyd,Kentucky,35589,64
Franklin,Kentucky,50991,46
Fulton,Kentucky,5969,14
Gallatin,Kentucky,8869,28
Garrard,Kentucky,17666,35
Grant,Kentucky,25069,18
Graves,Kentucky,37266,92
Grayson,Kentucky,26427,53
Green,Kentucky,10941,15
Greenup,Kentucky,35098,58
Hancock,Kentucky,8722,15
Hardin,Kentucky,110958,154
Harlan,Kentucky,26010,83
Harrison,Kentucky,18886,22
Hart,Kentucky,19035,46
Henderson,Kentucky,45210,71
Henry,Kentucky,16126,13
Hickman,Kentucky,4380,10
Hopkins,Kentucky,44686,145
Jackson,Kentucky,13329,32
Jefferson,Kentucky,766757,1176
Jessamine,Kentucky,54115,64
Johnson,Kentucky,22188,34
Kenton,Kentucky,166998,170
Knott,Kentucky,14806,23
Knox,Kentucky,31145,34
Larue,Kentucky,14398,26
Laurel,Kentucky,60813,67
Lawrence,Kentucky,15317,20
Lee,Kentucky,7403,26
Leslie,Kentucky,9877,7
Letcher,Kentucky,21553,42
Lewis,Kentucky,13275,34
Lincoln,Kentucky,24549,50
Livingston,Kentucky,9194,20
Logan,Kentucky,27102,64
Lyon,Kentucky,8210,19
Madison,Kentucky,92987,109
Magoffin,Kentucky,12161,14
Marion,Kentucky,19273,37
Marshall,Kentucky,31100,56
Martin,Kentucky,11195,20
Mason,Kentucky,17070,34
McCracken,Kentucky,65418,120
McCreary,Kentucky,17231,29
McLean,Kentucky,9207,27
Meade,Kentucky,28572,25
Menifee,Kentucky,6489,16
Mercer,Kentucky,21933,50
Metcalfe,Kentucky,10071,26
Monroe,Kentucky,10650,40
Montgomery,Kentucky,28157,30
Morgan,Kentucky,13309,3
Muhlenberg,Kentucky,30622,59
Nelson,Kentucky,46233,52
Nicholas,Kentucky,7269,8
Ohio,Kentucky,23994,53
Oldham,Kentucky,66799,82
Out of KY,Kentucky,0,0
Owen,Kentucky,10901,13
Owsley,Kentucky,4415,14
Pendleton,Kentucky,14590,4
Perry,Kentucky,25758,65
Pike,Kentucky,57876,93
Powell,Kentucky,12359,12
Pulaski,Kentucky,64979,94
Robertson,Kentucky,2108,14
Rockcastle,Kentucky,16695,22
Rowan,Kentucky,24460,20
Russell,Kentucky,17923,43
Scott,Kentucky,57004,32
Shelby,Kentucky,49024,70
Simpson,Kentucky,18572,36
Spencer,Kentucky,19351,21
Taylor,Kentucky,25769,45
Todd,Kentucky,12294,25
Trigg,Kentucky,14651,14
Trimble,Kentucky,8471,7
Unassigned,Kentucky,0,0
Union,Kentucky,14381,15
Warren,Kentucky,132896,168
Washington,Kentucky,12095,36
Wayne,Kentucky,20333,44
Webster,Kentucky,12942,20
Whitley,Kentucky,36264,53
Wolfe,Kentucky,7157,5
Woodford,Kentucky,26734,19
Acadia,Louisiana,62045,191
Allen,Louisiana,25627,91
Ascension,Louisiana,126604,164
Assumption,Louisiana,21891,36
Avoyelles,Louisiana,40144,123
Beauregard,Louisiana,37497,77
Bienville,Louisiana,13241,81
Bossier,Louisiana,127039,294
Caddo,Louisiana,240204,737
Calcasieu,Louisiana,203436,422
Caldwell,Louisiana,9918,29
Cameron,Louisiana,6973,6
Catahoula,Louisiana,9494,38
Claiborne,Louisiana,15670,55
Concordia,Louisiana,19259,60
De Soto,Louisiana,27463,78
East Baton Rouge,Louisiana,440059,794
East Carroll,Louisiana,6861,25
East Feliciana,Louisiana,19135,112
Evangeline,Louisiana,33395,92
Franklin,Louisiana,20015,105
Grant,Louisiana,22389,55
Iberia,Louisiana,69830,152
Iberville,Louisiana,32511,98
Jackson,Louisiana,15744,50
Jefferson,Louisiana,432493,889
Jefferson Davis,Louisiana,31368,93
LaSalle,Louisiana,14892,36
Lafayette,Louisiana,244390,274
Lafourche,Louisiana,97614,203
Lincoln,Louisiana,46742,92
Livingston,Louisiana,140789,204
Madison,Louisiana,10951,39
Morehouse,Louisiana,24874,73
Natchitoches,Louisiana,38158,85
Orleans,Louisiana,390144,789
Ouachita,Louisiana,153279,448
Out of LA,Louisiana,0,0
Plaquemines,Louisiana,23197,26
Pointe Coupee,Louisiana,21730,73
Rapides,Louisiana,129648,314
Red River,Louisiana,8442,38
Richland,Louisiana,20122,54
Sabine,Louisiana,23884,60
St. Bernard,Louisiana,47244,50
St. Charles,Louisiana,53100,93
St. Helena,Louisiana,10132,10
St. James,Louisiana,21096,50
St. John the Baptist,Louisiana,42837,137
St. Landry,Louisiana,82124,253
St. Martin,Louisiana,53431,116
St. Mary,Louisiana,49348,134
St. Tammany,Louisiana,260419,520
Tangipahoa,Louisiana,134758,291
Tensas,Louisiana,4334,8
Terrebonne,Louisiana,110461,220
Unassigned,Louisiana,0,0
Union,Louisiana,22108,77
Vermilion,Louisiana,59511,119
Vernon,Louisiana,47429,101
Washington,Louisiana,46194,129
Webster,Louisiana,38340,112
West Baton Rouge,Louisiana,26465,59
West Carroll,Louisiana,10830,41
West Feliciana,Louisiana,15568,34
Winn,Louisiana,13904,43
Androscoggin,Maine,108277,65
Aroostook,Maine,67055,45
Cumberland,Maine,295003,189
Franklin,Maine,30199,13
Hancock,Maine,54987,36
Kennebec,Maine,122302,65
Knox,Maine,39772,5
Lincoln,Maine,34634,2
Out of ME,Maine,0,0
Oxford,Maine,57975,62
Penobscot,Maine,152148,89
Piscataquis,Maine,16785,5
Sagadahoc,Maine,35856,8
Somerset,Maine,50484,29
Unassigned,Maine,0,0
Waldo,Maine,39715,19
Washington,Maine,31379,15
York,Maine,207641,130
Allegany,Maryland,70416,206
Anne Arundel,Maryland,579234,590
Baltimore,Maryland,827370,1460
Baltimore City,Maryland,593490,1014
Calvert,Maryland,92525,77
Caroline,Maryland,33406,24
Carroll,Maryland,168447,233
Cecil,Maryland,102855,128
Charles,Maryland,163257,189
Dorchester,Maryland,31929,50
Frederick,Maryland,259547,320
Garrett,Maryland,29014,63
Harford,Maryland,255441,269
Howard,Maryland,325690,232
Kent,Maryland,19422,45
Montgomery,Maryland,1050688,1518
Out of MD,Maryland,0,0
Prince George's,Maryland,909327,1436
Queen Anne's,Maryland,50381,43
Somerset,Maryland,25616,37
St. Mary's,Maryland,113510,123
Talbot,Maryland,37181,36
Unassigned,Maryland,0,74
Washington,Maryland,151049,272
Wicomico,Maryland,103609,152
Worcester,Maryland,52276,97
Barnstable,Massachusetts,212990,461
Berkshire,Massachusetts,124944,282
Bristol,Massachusetts,565217,1689
Dukes,Massachusetts,17332,0
Massachusetts,US,0,
Essex,Massachusetts,789034,2344
Franklin,Massachusetts,70180,112
Hampden,Massachusetts,466372,1487
Hampshire,Massachusetts,160830,290
Middlesex,Massachusetts,1611699,3713
Nantucket,Massachusetts,11399,0
Norfolk,Massachusetts,706775,1769
Out of MA,Massachusetts,0,0
Plymouth,Massachusetts,521202,1407
Suffolk,Massachusetts,803907,1813
Unassigned,Massachusetts,0,7
Worcester,Massachusetts,830622,2187
Alcona,Michigan,10405,26
Alger,Michigan,9108,6
Allegan,Michigan,118081,126
Alpena,Michigan,28405,55
Antrim,Michigan,23324,27
Arenac,Michigan,14883,28
Baraga,Michigan,8209,33
Barry,Michigan,61550,61
Bay,Michigan,103126,321
Benzie,Michigan,17766,32
Berrien,Michigan,153401,267
Branch,Michigan,43517,94
Calhoun,Michigan,134159,269
Cass,Michigan,51787,73
Charlevoix,Michigan,26143,18
Cheboygan,Michigan,25276,41
Chippewa,Michigan,37349,32
Clare,Michigan,30950,73
Clinton,Michigan,79595,81
Crawford,Michigan,14029,11
Delta,Michigan,35784,88
Dickinson,Michigan,25239,73
Eaton,Michigan,110268,182
Emmet,Michigan,33415,41
Michigan,US,0,
Genesee,Michigan,405813,856
Gladwin,Michigan,25449,46
Gogebic,Michigan,13975,50
Grand Traverse,Michigan,93088,87
Gratiot,Michigan,40711,110
Hillsdale,Michigan,45605,82
Houghton,Michigan,35684,40
Huron,Michigan,30981,72
Ingham,Michigan,292406,342
Ionia,Michigan,64697,76
Iosco,Michigan,25127,69
Iron,Michigan,11066,51
Isabella,Michigan,69872,83
Jackson,Michigan,158510,257
Kalamazoo,Michigan,265066,353
Kalkaska,Michigan,18038,20
Kent,Michigan,656955,780
Keweenaw,Michigan,2116,2
Lake,Michigan,11853,14
Lapeer,Michigan,87607,168
Leelanau,Michigan,21761,17
Lenawee,Michigan,98451,150
Livingston,Michigan,191995,170
Luce,Michigan,6229,2
Mackinac,Michigan,10799,3
Macomb,Michigan,873972,2192
Manistee,Michigan,24558,21
Marquette,Michigan,66699,58
Mason,Michigan,29144,31
Mecosta,Michigan,43453,26
Menominee,Michigan,22780,41
Michigan,US,0,
Midland,Michigan,83156,77
Missaukee,Michigan,15118,23
Monroe,Michigan,150500,236
Montcalm,Michigan,63888,99
Montmorency,Michigan,9328,18
Muskegon,Michigan,173566,324
Newaygo,Michigan,48980,58
Oakland,Michigan,1257584,2181
Oceana,Michigan,26467,53
Ogemaw,Michigan,20997,36
Ontonagon,Michigan,5720,21
Osceola,Michigan,23460,25
Oscoda,Michigan,8241,24
Otsego,Michigan,24668,35
Ottawa,Michigan,291830,391
Out of MI,Michigan,0,13
Presque Isle,Michigan,12592,31
Roscommon,Michigan,24019,47
Saginaw,Michigan,190539,559
Sanilac,Michigan,41170,102
Schoolcraft,Michigan,8094,5
Shiawassee,Michigan,68122,95
St. Clair,Michigan,159128,380
St. Joseph,Michigan,60964,94
Tuscola,Michigan,52245,157
Unassigned,Michigan,0,0
Van Buren,Michigan,75677,112
Washtenaw,Michigan,367601,267
Wayne,Michigan,1749343,4577
Wexford,Michigan,33631,36
Aitkin,Minnesota,15886,36
Anoka,Minnesota,356921,424
Becker,Minnesota,34423,49
Beltrami,Minnesota,47188,57
Benton,Minnesota,40889,97
Big Stone,Minnesota,4991,4
Blue Earth,Minnesota,67653,40
Brown,Minnesota,25008,39
Carlton,Minnesota,35871,52
Carver,Minnesota,105089,45
Cass,Minnesota,29779,26
Chippewa,Minnesota,11800,38
Chisago,Minnesota,56579,50
Clay,Minnesota,64222,91
Clearwater,Minnesota,8818,15
Cook,Minnesota,5463,0
Cottonwood,Minnesota,11196,21
Crow Wing,Minnesota,65055,86
Dakota,Minnesota,429021,427
Dodge,Minnesota,20934,3
Douglas,Minnesota,38141,73
Faribault,Minnesota,13653,19
Fillmore,Minnesota,21067,9
Freeborn,Minnesota,30281,29
Goodhue,Minnesota,46340,72
Grant,Minnesota,5972,8
Hennepin,Minnesota,1265843,1700
Houston,Minnesota,18600,15
Hubbard,Minnesota,21491,41
Isanti,Minnesota,40596,60
Itasca,Minnesota,45130,53
Jackson,Minnesota,9846,10
Kanabec,Minnesota,16337,23
Kandiyohi,Minnesota,43199,81
Kittson,Minnesota,4298,22
Koochiching,Minnesota,12229,13
Lac qui Parle,Minnesota,6623,22
Lake,Minnesota,10641,19
Lake of the Woods,Minnesota,3740,3
Le Sueur,Minnesota,28887,22
Lincoln,Minnesota,5639,3
Lyon,Minnesota,25474,49
Mahnomen,Minnesota,5527,8
Marshall,Minnesota,9336,17
Martin,Minnesota,19683,30
McLeod,Minnesota,35893,57
Meeker,Minnesota,23222,38
Mille Lacs,Minnesota,26277,51
Morrison,Minnesota,33386,59
Mower,Minnesota,40062,32
Murray,Minnesota,8194,9
Nicollet,Minnesota,34274,43
Nobles,Minnesota,21629,48
Norman,Minnesota,6375,9
Olmsted,Minnesota,158293,97
Otter Tail,Minnesota,58746,73
Out of MN,Minnesota,0,0
Pennington,Minnesota,14119,19
Pine,Minnesota,29579,21
Pipestone,Minnesota,9126,26
Polk,Minnesota,31364,67
Pope,Minnesota,11249,6
Ramsey,Minnesota,550321,859
Red Lake,Minnesota,4055,7
Redwood,Minnesota,15170,36
Renville,Minnesota,14548,43
Rice,Minnesota,66972,104
Rock,Minnesota,9315,19
Roseau,Minnesota,15165,19
Scott,Minnesota,149013,120
Sherburne,Minnesota,97238,81
Sibley,Minnesota,14865,10
St. Louis,Minnesota,199070,299
Stearns,Minnesota,161075,219
Steele,Minnesota,36649,14
Stevens,Minnesota,9805,10
Swift,Minnesota,9266,18
Todd,Minnesota,24664,30
Traverse,Minnesota,3259,5
Unassigned,Minnesota,0,78
Wabasha,Minnesota,21627,3
Wadena,Minnesota,13682,21
Waseca,Minnesota,18612,21
Washington,Minnesota,262440,275
Watonwan,Minnesota,10897,9
Wilkin,Minnesota,6207,12
Winona,Minnesota,50484,49
Wright,Minnesota,138377,132
Yellow Medicine,Minnesota,9709,20
Adams,Mississippi,30693,82
Alcorn,Mississippi,36953,67
Amite,Mississippi,12297,41
Attala,Mississippi,18174,73
Benton,Mississippi,8259,25
Bolivar,Mississippi,30628,131
Calhoun,Mississippi,14361,32
Carroll,Mississippi,9947,27
Chickasaw,Mississippi,17103,57
Choctaw,Mississippi,8210,18
Claiborne,Mississippi,8988,30
Clarke,Mississippi,15541,79
Clay,Mississippi,19316,54
Coahoma,Mississippi,22124,79
Copiah,Mississippi,28065,65
Covington,Mississippi,18636,80
DeSoto,Mississippi,184945,255
Forrest,Mississippi,74897,149
Franklin,Mississippi,7713,23
George,Mississippi,24500,47
Greene,Mississippi,13586,33
Grenada,Mississippi,20758,85
Hancock,Mississippi,47632,85
Harrison,Mississippi,208080,306
Hinds,Mississippi,231840,413
Holmes,Mississippi,17010,72
Humphreys,Mississippi,8064,32
Issaquena,Mississippi,1327,6
Itawamba,Mississippi,23390,77
Jackson,Mississippi,143617,245
Jasper,Mississippi,16383,48
Jefferson,Mississippi,6990,28
Jefferson Davis,Mississippi,11128,32
Jones,Mississippi,68098,163
Kemper,Mississippi,9742,28
Lafayette,Mississippi,54019,118
Lamar,Mississippi,63343,85
Lauderdale,Mississippi,74125,240
Lawrence,Mississippi,12586,23
Leake,Mississippi,22786,73
Lee,Mississippi,85436,171
Leflore,Mississippi,28183,124
Lincoln,Mississippi,34153,110
Lowndes,Mississippi,58595,144
Madison,Mississippi,106272,215
Marion,Mississippi,24573,79
Marshall,Mississippi,35294,103
Monroe,Mississippi,35252,132
Montgomery,Mississippi,9775,42
Neshoba,Mississippi,29118,176
Newton,Mississippi,21018,61
Noxubee,Mississippi,10417,34
Oktibbeha,Mississippi,49587,98
Out of MS,Mississippi,0,0
Panola,Mississippi,34192,103
Pearl River,Mississippi,55535,143
Perry,Mississippi,11973,38
Pike,Mississippi,39288,105
Pontotoc,Mississippi,32174,72
Prentiss,Mississippi,25126,59
Quitman,Mississippi,6792,16
Rankin,Mississippi,155271,278
Scott,Mississippi,28124,73
Sharkey,Mississippi,4321,17
Simpson,Mississippi,26658,87
Smith,Mississippi,15916,34
Stone,Mississippi,18336,33
Sunflower,Mississippi,25110,90
Tallahatchie,Mississippi,13809,40
Tate,Mississippi,28321,84
Tippah,Mississippi,22015,68
Tishomingo,Mississippi,19383,67
Tunica,Mississippi,9632,25
Unassigned,Mississippi,0,0
Union,Mississippi,28815,76
Walthall,Mississippi,14286,44
Warren,Mississippi,45381,119
Washington,Mississippi,43909,133
Wayne,Mississippi,20183,41
Webster,Mississippi,9689,32
Wilkinson,Mississippi,8630,30
Winston,Mississippi,17955,81
Yalobusha,Mississippi,12108,36
Yazoo,Mississippi,29690,69
Adair,Missouri,25343,19
Andrew,Missouri,17712,20
Atchison,Missouri,5143,6
Audrain,Missouri,25388,57
Barry,Missouri,35789,45
Barton,Missouri,11754,14
Bates,Missouri,16172,29
Benton,Missouri,19443,32
Bollinger,Missouri,12133,12
Boone,Missouri,180463,92
Buchanan,Missouri,87364,142
Butler,Missouri,42478,42
Caldwell,Missouri,9020,13
Callaway,Missouri,44743,47
Camden,Missouri,46305,87
Cape Girardeau,Missouri,78871,134
Carroll,Missouri,8679,23
Carter,Missouri,5982,10
Cass,Missouri,105780,107
Cedar,Missouri,14349,21
Chariton,Missouri,7426,8
Christian,Missouri,88595,91
Clark,Missouri,6797,7
Clay,Missouri,249948,164
Clinton,Missouri,20387,65
Cole,Missouri,76745,122
Cooper,Missouri,17709,27
Crawford,Missouri,23920,36
Dade,Missouri,7561,17
Dallas,Missouri,16878,27
Daviess,Missouri,8278,11
DeKalb,Missouri,12547,31
Dent,Missouri,15573,17
Douglas,Missouri,13185,27
Dunklin,Missouri,29131,22
Franklin,Missouri,103967,180
Gasconade,Missouri,14706,45
Gentry,Missouri,6571,20
Greene,Missouri,293086,463
Grundy,Missouri,9850,34
Harrison,Missouri,8352,14
Henry,Missouri,21824,38
Hickory,Missouri,9544,15
Holt,Missouri,4403,13
Howard,Missouri,10001,7
Howell,Missouri,40117,43
Iron,Missouri,10125,6
Jackson,Missouri,703011,417
Jasper,Missouri,121328,233
Jefferson,Missouri,225081,241
Johnson,Missouri,54062,51
Missouri,US,0,
Knox,Missouri,3959,2
Laclede,Missouri,35723,68
Lafayette,Missouri,32708,56
Lawrence,Missouri,38355,81
Lewis,Missouri,9776,13
Lincoln,Missouri,59013,40
Linn,Missouri,11920,13
Livingston,Missouri,15227,40
Macon,Missouri,15117,15
Madison,Missouri,12088,16
Maries,Missouri,8697,8
Marion,Missouri,28530,45
McDonald,Missouri,22837,28
Mercer,Missouri,3617,2
Miller,Missouri,25619,54
Mississippi,Missouri,13180,28
Moniteau,Missouri,16132,31
Monroe,Missouri,8644,12
Montgomery,Missouri,11551,11
Morgan,Missouri,20627,43
New Madrid,Missouri,17076,43
Newton,Missouri,58236,75
Nodaway,Missouri,22092,25
Oregon,Missouri,10529,3
Osage,Missouri,13615,15
Out of MO,Missouri,0,0
Ozark,Missouri,9174,17
Pemiscot,Missouri,15805,30
Perry,Missouri,19136,30
Pettis,Missouri,42339,78
Phelps,Missouri,44573,128
Pike,Missouri,18302,24
Platte,Missouri,104418,47
Polk,Missouri,32149,34
Pulaski,Missouri,52607,51
Putnam,Missouri,4696,4
Ralls,Missouri,10309,12
Randolph,Missouri,24748,30
Ray,Missouri,23018,27
Reynolds,Missouri,6270,3
Ripley,Missouri,13288,15
Saline,Missouri,22761,38
Schuyler,Missouri,4660,6
Scotland,Missouri,4902,3
Scott,Missouri,38280,84
Shannon,Missouri,8166,12
Shelby,Missouri,5930,7
St. Charles,Missouri,402022,451
St. Clair,Missouri,9397,8
St. Francois,Missouri,67215,115
St. Louis,Missouri,994205,2168
St. Louis City,Missouri,300576,476
Ste. Genevieve,Missouri,17894,16
Stoddard,Missouri,29025,37
Stone,Missouri,31952,44
Sullivan,Missouri,6089,14
Taney,Missouri,55928,92
Texas,Missouri,25398,23
Unassigned,Missouri,0,0
Vernon,Missouri,20563,43
Warren,Missouri,35649,22
Washington,Missouri,24730,49
Wayne,Missouri,12873,11
Webster,Missouri,39592,53
Worth,Missouri,2013,2
Wright,Missouri,18289,31
Beaverhead,Montana,9453,9
Big Horn,Montana,13319,75
Blaine,Montana,6681,23
Broadwater,Montana,6237,5
Carbon,Montana,10725,14
Carter,Montana,1252,5
Cascade,Montana,81366,169
Chouteau,Montana,5635,6
Custer,Montana,11402,18
Daniels,Montana,1690,7
Dawson,Montana,8613,30
Deer Lodge,Montana,9140,15
Fallon,Montana,2846,2
Fergus,Montana,11050,31
Flathead,Montana,103806,91
Gallatin,Montana,114434,61
Garfield,Montana,1258,2
Glacier,Montana,13753,42
Golden Valley,Montana,821,2
Granite,Montana,3379,2
Hill,Montana,16484,44
Jefferson,Montana,12221,8
Judith Basin,Montana,2007,1
Lake,Montana,30458,36
Lewis and Clark,Montana,69432,87
Liberty,Montana,2337,1
Lincoln,Montana,19980,17
Madison,Montana,8600,8
McCone,Montana,1664,1
Meagher,Montana,1862,7
Mineral,Montana,4397,0
Missoula,Montana,119600,93
Musselshell,Montana,4633,10
Out of MT,Montana,0,0
Park,Montana,16606,19
Petroleum,Montana,487,1
Phillips,Montana,3954,16
Pondera,Montana,5911,4
Powder River,Montana,1682,6
Powell,Montana,6890,10
Prairie,Montana,1077,2
Ravalli,Montana,43806,31
Richland,Montana,10803,15
Roosevelt,Montana,11004,54
Rosebud,Montana,8937,48
Sanders,Montana,12113,15
Sheridan,Montana,3309,5
Silver Bow,Montana,34915,85
Stillwater,Montana,9642,14
Sweet Grass,Montana,3737,7
Teton,Montana,6147,5
Toole,Montana,4736,10
Treasure,Montana,696,1
Unassigned,Montana,0,0
Valley,Montana,7396,19
Wheatland,Montana,2126,8
Wibaux,Montana,969,6
Yellowstone,Montana,161300,263
Adams,Nebraska,31363,43
Antelope,Nebraska,6298,6
Arthur,Nebraska,463,1
Banner,Nebraska,745,0
Blaine,Nebraska,465,0
Boone,Nebraska,5192,4
Box Butte,Nebraska,10783,9
Boyd,Nebraska,1919,3
Brown,Nebraska,2955,2
Buffalo,Nebraska,49659,58
Burt,Nebraska,6459,12
Butler,Nebraska,8016,11
Cass,Nebraska,26248,16
Cedar,Nebraska,8402,11
Chase,Nebraska,3924,5
Cherry,Nebraska,5689,7
Cheyenne,Nebraska,8910,18
Clay,Nebraska,6203,11
Colfax,Nebraska,10709,21
Cuming,Nebraska,8846,11
Custer,Nebraska,10777,18
Dakota,Nebraska,20026,63
Dawes,Nebraska,8589,18
Dawson,Nebraska,23595,31
Deuel,Nebraska,1794,2
Dixon,Nebraska,5636,9
Dodge,Nebraska,36565,60
Douglas,Nebraska,571327,665
Dundy,Nebraska,1693,4
Fillmore,Nebraska,5462,10
Franklin,Nebraska,2979,4
Frontier,Nebraska,2627,1
Furnas,Nebraska,4676,5
Gage,Nebraska,21513,19
Garden,Nebraska,1837,1
Garfield,Nebraska,1969,3
Gosper,Nebraska,1990,5
Grant,Nebraska,623,4
Greeley,Nebraska,2356,2
Hall,Nebraska,61353,117
Hamilton,Nebraska,9324,17
Harlan,Nebraska,3380,0
Hayes,Nebraska,922,0
Hitchcock,Nebraska,2762,5
Holt,Nebraska,10067,16
Hooker,Nebraska,682,2
Howard,Nebraska,6445,17
Jefferson,Nebraska,7046,1
Johnson,Nebraska,5071,9
Kearney,Nebraska,6495,5
Keith,Nebraska,8034,10
Keya Paha,Nebraska,806,0
Kimball,Nebraska,3632,7
Knox,Nebraska,8332,12
Lancaster,Nebraska,319090,168
Lincoln,Nebraska,34914,54
Logan,Nebraska,748,0
Loup,Nebraska,664,0
Madison,Nebraska,35099,42
McPherson,Nebraska,494,1
Merrick,Nebraska,7755,15
Morrill,Nebraska,4642,15
Nance,Nebraska,3519,10
Nemaha,Nebraska,6972,15
Nuckolls,Nebraska,4148,11
Otoe,Nebraska,16012,9
Out of NE,Nebraska,0,0
Pawnee,Nebraska,2613,1
Perkins,Nebraska,2891,11
Phelps,Nebraska,9034,10
Pierce,Nebraska,7148,20
Platte,Nebraska,33470,48
Polk,Nebraska,5213,9
Red Willow,Nebraska,10724,15
Richardson,Nebraska,7865,19
Rock,Nebraska,1357,2
Saline,Nebraska,14224,3
Sarpy,Nebraska,187196,129
Saunders,Nebraska,21578,16
Scotts Bluff,Nebraska,35618,92
Seward,Nebraska,17284,31
Sheridan,Nebraska,5246,19
Sherman,Nebraska,3001,4
Sioux,Nebraska,1166,0
Stanton,Nebraska,5920,9
Thayer,Nebraska,5003,4
Thomas,Nebraska,722,1
Thurston,Nebraska,7224,12
Unassigned,Nebraska,0,7
Valley,Nebraska,4158,3
Washington,Nebraska,20729,24
Wayne,Nebraska,9385,7
Webster,Nebraska,3487,6
Wheeler,Nebraska,783,0
York,Nebraska,13679,9
Carson City,Nevada,55916,123
Churchill,Nevada,24909,49
Clark,Nevada,2266715,4281
Douglas,Nevada,48905,35
Elko,Nevada,52778,56
Esmeralda,Nevada,873,0
Eureka,Nevada,2029,0
Humboldt,Nevada,16831,13
Lander,Nevada,5532,9
Lincoln,Nevada,5183,3
Lyon,Nevada,57510,65
Mineral,Nevada,4505,7
Nye,Nevada,46523,106
